bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
hf (pretrained=deepseek-ai/DeepSeek-R1-Distill-Qwen-7B), gen_kwargs: (None), limit: 1000.0, num_fewshot: None, batch_size: 8
|     Tasks     |Version|Filter|n-shot|Metric|   | Value  |   |Stderr|
|---------------|------:|------|-----:|------|---|-------:|---|-----:|
|flores_ca      |    1.0|none  |      |bleu  |↑  |  8.7840|±  |0.0993|
| - flores_ca-de|    1.0|none  |     0|bleu  |↑  |  3.4484|±  |0.2809|
|               |       |none  |     0|chrf  |↑  | 26.2445|±  |0.4858|
|               |       |none  |     0|ter   |↓  |118.0406|±  |2.7017|
| - flores_ca-en|    1.0|none  |     0|bleu  |↑  | 26.1134|±  |0.6224|
|               |       |none  |     0|chrf  |↑  | 55.4795|±  |0.4961|
|               |       |none  |     0|ter   |↓  | 64.7203|±  |0.9397|
| - flores_ca-es|    1.0|none  |     0|bleu  |↑  |  5.2928|±  |0.3070|
|               |       |none  |     0|chrf  |↑  | 29.3623|±  |0.4045|
|               |       |none  |     0|ter   |↓  | 94.8198|±  |0.9577|
| - flores_ca-eu|    0.1|none  |     0|bleu  |↑  |  0.4525|±  |0.0703|
|               |       |none  |     0|chrf  |↑  | 16.9365|±  |0.2698|
|               |       |none  |     0|ter   |↓  |214.4768|±  |5.4176|
| - flores_ca-fr|    1.0|none  |     0|bleu  |↑  |  5.5269|±  |0.3466|
|               |       |none  |     0|chrf  |↑  | 30.0878|±  |0.4187|
|               |       |none  |     0|ter   |↓  | 95.7332|±  |0.8750|
| - flores_ca-gl|    1.0|none  |     0|bleu  |↑  |  8.2083|±  |0.4043|
|               |       |none  |     0|chrf  |↑  | 38.7236|±  |0.5726|
|               |       |none  |     0|ter   |↓  |103.0110|±  |3.5429|
| - flores_ca-it|    1.0|none  |     0|bleu  |↑  |  8.3435|±  |0.3420|
|               |       |none  |     0|chrf  |↑  | 35.8238|±  |0.3901|
|               |       |none  |     0|ter   |↓  | 91.2383|±  |1.3509|
