bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
hf (pretrained=meta-llama/Llama-3.1-8B), gen_kwargs: (None), limit: 1000.0, num_fewshot: None, batch_size: 8
|     Tasks     |Version|Filter|n-shot|Metric|   | Value  |   |Stderr|
|---------------|------:|------|-----:|------|---|-------:|---|-----:|
|flores_ca      |    1.0|none  |      |bleu  |↑  | 25.9510|±  |0.1384|
| - flores_ca-de|    1.0|none  |     0|bleu  |↑  | 23.8506|±  |0.5297|
|               |       |none  |     0|chrf  |↑  | 54.1358|±  |0.3886|
|               |       |none  |     0|ter   |↓  | 66.8480|±  |0.8522|
| - flores_ca-en|    1.0|none  |     0|bleu  |↑  | 42.8962|±  |0.6118|
|               |       |none  |     0|chrf  |↑  | 68.4088|±  |0.4179|
|               |       |none  |     0|ter   |↓  | 43.8490|±  |0.6564|
| - flores_ca-es|    1.0|none  |     0|bleu  |↑  | 24.5735|±  |0.4348|
|               |       |none  |     0|chrf  |↑  | 53.1712|±  |0.3259|
|               |       |none  |     0|ter   |↓  | 61.4787|±  |0.4661|
| - flores_ca-eu|    0.1|none  |     0|bleu  |↑  |  3.4160|±  |0.2558|
|               |       |none  |     0|chrf  |↑  | 34.3342|±  |0.5646|
|               |       |none  |     0|ter   |↓  |146.0320|±  |4.7216|
| - flores_ca-fr|    1.0|none  |     0|bleu  |↑  | 33.7392|±  |0.6650|
|               |       |none  |     0|chrf  |↑  | 59.9328|±  |0.4664|
|               |       |none  |     0|ter   |↓  | 54.7843|±  |0.8516|
| - flores_ca-gl|    1.0|none  |     0|bleu  |↑  | 26.7695|±  |0.6889|
|               |       |none  |     0|chrf  |↑  | 55.5554|±  |0.4191|
|               |       |none  |     0|ter   |↓  | 62.8908|±  |1.8580|
| - flores_ca-it|    1.0|none  |     0|bleu  |↑  | 23.3928|±  |0.4512|
|               |       |none  |     0|chrf  |↑  | 53.3896|±  |0.3596|
|               |       |none  |     0|ter   |↓  | 65.4568|±  |0.7630|
| - flores_ca-pt|    1.0|none  |     0|bleu  |↑  | 33.5364|±  |0.5639|
|               |       |none  |     0|chrf  |↑  | 60.1694|±  |0.3830|
|               |       |none  |     0|ter   |↓  | 53.2910|±  |0.6101|
| - flores_de-ca|    1.0|none  |     0|bleu  |↑  | 24.7290|±  |0.5551|
|               |       |none  |     0|chrf  |↑  | 53.0234|±  |0.4029|
|               |       |none  |     0|ter   |↓  | 66.5949|±  |1.5110|
| - flores_en-ca|    1.0|none  |     0|bleu  |↑  | 33.7094|±  |0.6344|
|               |       |none  |     0|chrf  |↑  | 59.5640|±  |0.4847|
|               |       |none  |     0|ter   |↓  | 53.4896|±  |1.0251|
| - flores_es-ca|    1.0|none  |     0|bleu  |↑  | 22.4883|±  |0.4097|
|               |       |none  |     0|chrf  |↑  | 53.2887|±  |0.3288|
|               |       |none  |     0|ter   |↓  | 67.5724|±  |0.5744|
| - flores_eu-ca|    0.1|none  |     0|bleu  |↑  | 13.1588|±  |0.4971|
|               |       |none  |     0|chrf  |↑  | 39.6528|±  |0.4602|
|               |       |none  |     0|ter   |↓  | 88.1912|±  |2.0051|
| - flores_fr-ca|    1.0|none  |     0|bleu  |↑  | 26.7137|±  |0.6524|
|               |       |none  |     0|chrf  |↑  | 55.3728|±  |0.4424|
|               |       |none  |     0|ter   |↓  | 62.6766|±  |1.1340|
| - flores_gl-ca|    1.0|none  |     0|bleu  |↑  | 28.8918|±  |0.5208|
|               |       |none  |     0|chrf  |↑  | 57.2557|±  |0.3470|
|               |       |none  |     0|ter   |↓  | 58.6340|±  |0.5268|
| - flores_it-ca|    1.0|none  |     0|bleu  |↑  | 22.8639|±  |0.5675|
|               |       |none  |     0|chrf  |↑  | 53.0247|±  |0.3708|
|               |       |none  |     0|ter   |↓  | 68.9434|±  |1.1961|
| - flores_pt-ca|    1.0|none  |     0|bleu  |↑  | 30.4872|±  |0.6426|
|               |       |none  |     0|chrf  |↑  | 57.6661|±  |0.4189|
|               |       |none  |     0|ter   |↓  | 58.1121|±  |1.0927|

| Groups  |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|---------|------:|------|------|------|---|-----:|---|-----:|
|flores_ca|      1|none  |      |bleu  |↑  |25.951|±  |0.1384|

