bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
hf (pretrained=mistralai/Ministral-8B-Instruct-2410), gen_kwargs: (None), limit: 1000.0, num_fewshot: None, batch_size: 1
|     Tasks     |Version|Filter|n-shot|Metric|   | Value  |   |Stderr|
|---------------|------:|------|-----:|------|---|-------:|---|-----:|
|flores_ca      |    1.0|none  |      |bleu  |↑  | 23.1329|±  |0.1460|
| - flores_ca-de|    1.0|none  |     0|bleu  |↑  | 12.8644|±  |0.6122|
|               |       |none  |     0|chrf  |↑  | 36.2304|±  |0.7231|
|               |       |none  |     0|ter   |↓  | 88.1852|±  |0.9402|
| - flores_ca-en|    1.0|none  |     0|bleu  |↑  | 41.3057|±  |0.6142|
|               |       |none  |     0|chrf  |↑  | 67.2316|±  |0.4359|
|               |       |none  |     0|ter   |↓  | 45.4705|±  |0.6471|
| - flores_ca-es|    1.0|none  |     0|bleu  |↑  | 17.3409|±  |0.4989|
|               |       |none  |     0|chrf  |↑  | 43.6002|±  |0.5487|
|               |       |none  |     0|ter   |↓  | 73.4467|±  |0.6830|
| - flores_ca-eu|    0.1|none  |     0|bleu  |↑  |  3.4441|±  |0.2647|
|               |       |none  |     0|chrf  |↑  | 33.8684|±  |0.5179|
|               |       |none  |     0|ter   |↓  |144.6484|±  |5.2301|
| - flores_ca-fr|    1.0|none  |     0|bleu  |↑  | 14.8971|±  |0.6969|
|               |       |none  |     0|chrf  |↑  | 38.3961|±  |0.6654|
|               |       |none  |     0|ter   |↓  | 81.8505|±  |0.8522|
| - flores_ca-gl|    1.0|none  |     0|bleu  |↑  | 26.4911|±  |0.5536|
|               |       |none  |     0|chrf  |↑  | 55.4234|±  |0.3823|
|               |       |none  |     0|ter   |↓  | 60.6432|±  |1.0362|
| - flores_ca-it|    1.0|none  |     0|bleu  |↑  | 20.2277|±  |0.5506|
|               |       |none  |     0|chrf  |↑  | 48.2886|±  |0.5423|
|               |       |none  |     0|ter   |↓  | 72.9157|±  |1.4723|
| - flores_ca-pt|    1.0|none  |     0|bleu  |↑  | 34.0027|±  |0.6196|
|               |       |none  |     0|chrf  |↑  | 60.2814|±  |0.4192|
|               |       |none  |     0|ter   |↓  | 52.9755|±  |0.6107|
| - flores_de-ca|    1.0|none  |     0|bleu  |↑  | 26.0109|±  |0.6585|
|               |       |none  |     0|chrf  |↑  | 54.1911|±  |0.4002|
|               |       |none  |     0|ter   |↓  | 63.4842|±  |1.3722|
| - flores_en-ca|    1.0|none  |     0|bleu  |↑  | 34.9743|±  |0.5766|
|               |       |none  |     0|chrf  |↑  | 60.6963|±  |0.3992|
|               |       |none  |     0|ter   |↓  | 52.3050|±  |1.0686|
| - flores_es-ca|    1.0|none  |     0|bleu  |↑  | 22.4339|±  |0.4212|
|               |       |none  |     0|chrf  |↑  | 53.2316|±  |0.3036|
|               |       |none  |     0|ter   |↓  | 67.8375|±  |0.5418|
| - flores_eu-ca|    0.1|none  |     0|bleu  |↑  |  9.4711|±  |0.4939|
|               |       |none  |     0|chrf  |↑  | 34.9222|±  |0.4918|
|               |       |none  |     0|ter   |↓  |101.2799|±  |3.0738|
| - flores_fr-ca|    1.0|none  |     0|bleu  |↑  | 28.0899|±  |0.6981|
|               |       |none  |     0|chrf  |↑  | 56.7068|±  |0.4431|
|               |       |none  |     0|ter   |↓  | 60.7754|±  |1.5715|
| - flores_gl-ca|    1.0|none  |     0|bleu  |↑  | 25.4026|±  |0.5483|
|               |       |none  |     0|chrf  |↑  | 54.7646|±  |0.3855|
|               |       |none  |     0|ter   |↓  | 62.7635|±  |0.7399|
| - flores_it-ca|    1.0|none  |     0|bleu  |↑  | 22.5537|±  |0.5894|
|               |       |none  |     0|chrf  |↑  | 53.5570|±  |0.3934|
|               |       |none  |     0|ter   |↓  | 69.0594|±  |1.5155|
| - flores_pt-ca|    1.0|none  |     0|bleu  |↑  | 30.6168|±  |0.7622|
|               |       |none  |     0|chrf  |↑  | 58.2205|±  |0.4595|
|               |       |none  |     0|ter   |↓  | 58.2156|±  |1.7200|

| Groups  |Version|Filter|n-shot|Metric|   | Value |   |Stderr|
|---------|------:|------|------|------|---|------:|---|-----:|
|flores_ca|      1|none  |      |bleu  |↑  |23.1329|±  | 0.146|

