bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
hf (pretrained=mistralai/Mistral-7B-Instruct-v0.3), gen_kwargs: (None), limit: 1000.0, num_fewshot: None, batch_size: 1
|     Tasks     |Version|Filter|n-shot|Metric|   | Value  |   |Stderr|
|---------------|------:|------|-----:|------|---|-------:|---|-----:|
|flores_ca      |    1.0|none  |      |bleu  |↑  | 24.1371|±  |0.1272|
| - flores_ca-de|    1.0|none  |     0|bleu  |↑  | 19.3742|±  |0.5195|
|               |       |none  |     0|chrf  |↑  | 48.6475|±  |0.5521|
|               |       |none  |     0|ter   |↓  | 73.9294|±  |0.8169|
| - flores_ca-en|    1.0|none  |     0|bleu  |↑  | 42.2449|±  |0.5608|
|               |       |none  |     0|chrf  |↑  | 67.9028|±  |0.3827|
|               |       |none  |     0|ter   |↓  | 44.1955|±  |0.6069|
| - flores_ca-es|    1.0|none  |     0|bleu  |↑  | 24.0723|±  |0.4629|
|               |       |none  |     0|chrf  |↑  | 52.8931|±  |0.3312|
|               |       |none  |     0|ter   |↓  | 61.6962|±  |0.4873|
| - flores_ca-eu|    0.1|none  |     0|bleu  |↑  |  0.8549|±  |0.1091|
|               |       |none  |     0|chrf  |↑  | 20.9893|±  |0.2879|
|               |       |none  |     0|ter   |↓  |181.0692|±  |5.4191|
| - flores_ca-fr|    1.0|none  |     0|bleu  |↑  | 31.8624|±  |0.6307|
|               |       |none  |     0|chrf  |↑  | 58.6853|±  |0.4552|
|               |       |none  |     0|ter   |↓  | 56.4949|±  |0.7830|
| - flores_ca-gl|    1.0|none  |     0|bleu  |↑  | 16.2383|±  |0.4826|
|               |       |none  |     0|chrf  |↑  | 49.2078|±  |0.3728|
|               |       |none  |     0|ter   |↓  | 71.7235|±  |1.2109|
| - flores_ca-it|    1.0|none  |     0|bleu  |↑  | 22.1807|±  |0.4721|
|               |       |none  |     0|chrf  |↑  | 52.7161|±  |0.3448|
|               |       |none  |     0|ter   |↓  | 67.0343|±  |1.1400|
| - flores_ca-pt|    1.0|none  |     0|bleu  |↑  | 32.0709|±  |0.5790|
|               |       |none  |     0|chrf  |↑  | 59.3099|±  |0.3851|
|               |       |none  |     0|ter   |↓  | 54.5227|±  |0.6450|
| - flores_de-ca|    1.0|none  |     0|bleu  |↑  | 25.4205|±  |0.5189|
|               |       |none  |     0|chrf  |↑  | 53.1462|±  |0.3585|
|               |       |none  |     0|ter   |↓  | 63.3931|±  |0.6809|
| - flores_en-ca|    1.0|none  |     0|bleu  |↑  | 33.9342|±  |0.6231|
|               |       |none  |     0|chrf  |↑  | 59.9221|±  |0.4174|
|               |       |none  |     0|ter   |↓  | 52.3671|±  |0.9670|
| - flores_es-ca|    1.0|none  |     0|bleu  |↑  | 22.6275|±  |0.4626|
|               |       |none  |     0|chrf  |↑  | 53.5080|±  |0.3417|
|               |       |none  |     0|ter   |↓  | 67.3529|±  |0.5799|
| - flores_eu-ca|    0.1|none  |     0|bleu  |↑  |  4.3177|±  |0.2745|
|               |       |none  |     0|chrf  |↑  | 25.6369|±  |0.3288|
|               |       |none  |     0|ter   |↓  |105.1982|±  |2.2947|
| - flores_fr-ca|    1.0|none  |     0|bleu  |↑  | 28.0484|±  |0.5734|
|               |       |none  |     0|chrf  |↑  | 56.2715|±  |0.4089|
|               |       |none  |     0|ter   |↓  | 59.8186|±  |0.6574|
| - flores_gl-ca|    1.0|none  |     0|bleu  |↑  | 28.8766|±  |0.5097|
|               |       |none  |     0|chrf  |↑  | 57.4122|±  |0.3404|
