bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
hf (pretrained=Qwen/Qwen2.5-7B), gen_kwargs: (None), limit: 1000.0, num_fewshot: None, batch_size: 8
|     Tasks     |Version|Filter|n-shot|Metric|   |  Value  |   |Stderr |
|---------------|------:|------|-----:|------|---|--------:|---|------:|
|flores_ca      |    1.0|none  |      |bleu  |↑  |  19.4719|±  | 0.2903|
| - flores_ca-de|    1.0|none  |     0|bleu  |↑  |  20.9343|±  | 0.4775|
|               |       |none  |     0|chrf  |↑  |  50.9974|±  | 0.4006|
|               |       |none  |     0|ter   |↓  |  70.2004|±  | 0.5469|
| - flores_ca-en|    1.0|none  |     0|bleu  |↑  |  41.9392|±  | 0.5748|
|               |       |none  |     0|chrf  |↑  |  67.3030|±  | 0.4229|
|               |       |none  |     0|ter   |↓  |  44.8700|±  | 0.5996|
| - flores_ca-es|    1.0|none  |     0|bleu  |↑  |  23.9895|±  | 0.4181|
|               |       |none  |     0|chrf  |↑  |  52.5356|±  | 0.3303|
|               |       |none  |     0|ter   |↓  |  62.2903|±  | 0.6125|
| - flores_ca-eu|    0.1|none  |     0|bleu  |↑  |   0.0622|±  | 0.0075|
|               |       |none  |     0|chrf  |↑  |   5.2241|±  | 0.1666|
|               |       |none  |     0|ter   |↓  |1911.6867|±  |62.3583|
| - flores_ca-fr|    1.0|none  |     0|bleu  |↑  |  33.4501|±  | 0.6200|
|               |       |none  |     0|chrf  |↑  |  59.4785|±  | 0.4077|
|               |       |none  |     0|ter   |↓  |  54.4959|±  | 0.5914|
| - flores_ca-gl|    1.0|none  |     0|bleu  |↑  |  20.5291|±  | 1.3801|
|               |       |none  |     0|chrf  |↑  |  52.3407|±  | 0.6765|
|               |       |none  |     0|ter   |↓  |  75.3103|±  | 7.1706|
| - flores_ca-it|    1.0|none  |     0|bleu  |↑  |  21.5397|±  | 0.8909|
|               |       |none  |     0|chrf  |↑  |  51.0523|±  | 0.6121|
|               |       |none  |     0|ter   |↓  |  71.3340|±  | 4.5322|
| - flores_ca-pt|    1.0|none  |     0|bleu  |↑  |  32.9788|±  | 1.3361|
|               |       |none  |     0|chrf  |↑  |  59.7489|±  | 0.5951|
|               |       |none  |     0|ter   |↓  |  54.7388|±  | 2.2819|
| - flores_de-ca|    1.0|none  |     0|bleu  |↑  |  10.2490|±  | 1.3672|
|               |       |none  |     0|chrf  |↑  |  41.2829|±  | 1.5585|
|               |       |none  |     0|ter   |↓  | 141.2501|±  |20.4302|
| - flores_en-ca|    1.0|none  |     0|bleu  |↑  |  19.3201|±  | 1.9963|
|               |       |none  |     0|chrf  |↑  |  50.4842|±  | 1.3072|
|               |       |none  |     0|ter   |↓  |  92.0308|±  |13.0839|
| - flores_es-ca|    1.0|none  |     0|bleu  |↑  |  14.9836|±  | 0.7560|
|               |       |none  |     0|chrf  |↑  |  47.3273|±  | 0.4994|
|               |       |none  |     0|ter   |↓  |  81.5185|±  | 4.7062|
| - flores_eu-ca|    0.1|none  |     0|bleu  |↑  |   1.7258|±  | 0.2275|
|               |       |none  |     0|chrf  |↑  |  20.7238|±  | 0.8800|
|               |       |none  |     0|ter   |↓  | 262.5523|±  |28.8397|
| - flores_fr-ca|    1.0|none  |     0|bleu  |↑  |  16.3884|±  | 1.6656|
|               |       |none  |     0|chrf  |↑  |  48.3242|±  | 1.0236|
|               |       |none  |     0|ter   |↓  |  91.6125|±  |12.7521|
| - flores_gl-ca|    1.0|none  |     0|bleu  |↑  |  19.3546|±  | 1.6150|
|               |       |none  |     0|chrf  |↑  |  50.7254|±  | 1.0450|
|               |       |none  |     0|ter   |↓  |  78.2007|±  | 9.4714|
| - flores_it-ca|    1.0|none  |     0|bleu  |↑  |  14.1824|±  | 1.2782|
