bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
hf (pretrained=BSC-LT/salamandra-2b-Instruct), gen_kwargs: (None), limit: 1000.0, num_fewshot: None, batch_size: 1
|     Tasks     |Version|Filter|n-shot|Metric|   | Value  |   |Stderr|
|---------------|------:|------|-----:|------|---|-------:|---|-----:|
|flores_ca      |    1.0|none  |      |bleu  |↑  | 15.9108|±  |0.1081|
| - flores_ca-de|    1.0|none  |     0|bleu  |↑  | 11.6284|±  |0.3734|
|               |       |none  |     0|chrf  |↑  | 40.0816|±  |0.4979|
|               |       |none  |     0|ter   |↓  | 88.3945|±  |1.1544|
| - flores_ca-en|    1.0|none  |     0|bleu  |↑  | 31.0821|±  |0.4966|
|               |       |none  |     0|chrf  |↑  | 60.4084|±  |0.4041|
|               |       |none  |     0|ter   |↓  | 56.0216|±  |0.7745|
| - flores_ca-es|    1.0|none  |     0|bleu  |↑  | 16.0164|±  |0.3842|
|               |       |none  |     0|chrf  |↑  | 46.3250|±  |0.3188|
|               |       |none  |     0|ter   |↓  | 74.2039|±  |0.9469|
| - flores_ca-eu|    0.1|none  |     0|bleu  |↑  |  5.0949|±  |0.2749|
|               |       |none  |     0|chrf  |↑  | 41.4095|±  |0.3161|
|               |       |none  |     0|ter   |↓  | 96.7124|±  |0.7363|
| - flores_ca-fr|    1.0|none  |     0|bleu  |↑  | 11.8773|±  |0.5008|
|               |       |none  |     0|chrf  |↑  | 38.0503|±  |0.5499|
|               |       |none  |     0|ter   |↓  | 87.7054|±  |1.4469|
| - flores_ca-gl|    1.0|none  |     0|bleu  |↑  | 18.8844|±  |0.3801|
|               |       |none  |     0|chrf  |↑  | 50.0918|±  |0.3356|
|               |       |none  |     0|ter   |↓  | 69.0749|±  |0.5771|
| - flores_ca-it|    1.0|none  |     0|bleu  |↑  |  7.8842|±  |0.3648|
|               |       |none  |     0|chrf  |↑  | 37.0686|±  |0.4340|
