bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
hf (pretrained=BSC-LT/salamandraTA-2B), gen_kwargs: (None), limit: 1000.0, num_fewshot: None, batch_size: 8
|     Tasks     |Version|Filter|n-shot|Metric|   | Value  |   |Stderr |
|---------------|------:|------|-----:|------|---|-------:|---|------:|
|flores_ca      |    1.0|none  |      |bleu  |↑  |  0.0059|±  | 0.0004|
| - flores_ca-de|    1.0|none  |     0|bleu  |↑  |  0.0098|±  | 0.0031|
|               |       |none  |     0|chrf  |↑  |  5.7789|±  | 0.1066|
|               |       |none  |     0|ter   |↓  |380.0065|±  | 7.8850|
| - flores_ca-en|    1.0|none  |     0|bleu  |↑  |  0.0066|±  | 0.0021|
|               |       |none  |     0|chrf  |↑  |  5.7064|±  | 0.0941|
|               |       |none  |     0|ter   |↓  |378.7176|±  | 7.2920|
| - flores_ca-es|    1.0|none  |     0|bleu  |↑  |  0.0052|±  | 0.0004|
|               |       |none  |     0|chrf  |↑  |  6.8087|±  | 0.1117|
|               |       |none  |     0|ter   |↓  |330.3510|±  | 5.8433|
| - flores_ca-eu|    0.1|none  |     0|bleu  |↑  |  0.0039|±  | 0.0017|
|               |       |none  |     0|chrf  |↑  |  5.2094|±  | 0.1013|
|               |       |none  |     0|ter   |↓  |430.9262|±  | 9.8902|
| - flores_ca-fr|    1.0|none  |     0|bleu  |↑  |  0.0038|±  | 0.0018|
|               |       |none  |     0|chrf  |↑  |  5.1941|±  | 0.1067|
|               |       |none  |     0|ter   |↓  |305.3887|±  | 6.6099|
| - flores_ca-gl|    1.0|none  |     0|bleu  |↑  |  0.0015|±  | 0.0000|
|               |       |none  |     0|chrf  |↑  |  5.9815|±  | 0.1079|
|               |       |none  |     0|ter   |↓  |359.0481|±  | 6.8954|
| - flores_ca-it|    1.0|none  |     0|bleu  |↑  |  0.0024|±  | 0.0006|
|               |       |none  |     0|chrf  |↑  |  5.4836|±  | 0.1116|
|               |       |none  |     0|ter   |↓  |316.3746|±  | 6.4540|
| - flores_ca-pt|    1.0|none  |     0|bleu  |↑  |  0.0050|±  | 0.0015|
|               |       |none  |     0|chrf  |↑  |  5.8633|±  | 0.1201|
|               |       |none  |     0|ter   |↓  |345.8274|±  | 7.5748|
| - flores_de-ca|    1.0|none  |     0|bleu  |↑  |  0.0049|±  | 0.0011|
|               |       |none  |     0|chrf  |↑  |  7.1407|±  | 0.1270|
|               |       |none  |     0|ter   |↓  |246.3240|±  | 5.2971|
| - flores_en-ca|    1.0|none  |     0|bleu  |↑  |  0.0032|±  | 0.0008|
|               |       |none  |     0|chrf  |↑  |  7.0722|±  | 0.0993|
|               |       |none  |     0|ter   |↓  |323.4561|±  | 7.4872|
| - flores_es-ca|    1.0|none  |     0|bleu  |↑  |  0.0077|±  | 0.0006|
|               |       |none  |     0|chrf  |↑  |  8.4160|±  | 0.1160|
|               |       |none  |     0|ter   |↓  |362.4156|±  | 7.3065|
| - flores_eu-ca|    0.1|none  |     0|bleu  |↑  |  0.0096|±  | 0.0034|
|               |       |none  |     0|chrf  |↑  |  7.9800|±  | 0.1169|
|               |       |none  |     0|ter   |↓  |266.0481|±  | 6.3891|
