bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
hf (pretrained=deepseek-ai/DeepSeek-R1-Distill-Qwen-7B), gen_kwargs: (None), limit: 1000.0, num_fewshot: None, batch_size: 8
|     Tasks     |Version|Filter|n-shot|Metric|   | Value  |   |Stderr|
|---------------|------:|------|-----:|------|---|-------:|---|-----:|
|flores_es      |      1|none  |      |bleu  |↑  |  9.8673|±  |0.0870|
| - flores_ca-es|      1|none  |     0|bleu  |↑  |  5.2695|±  |0.3049|
|               |       |none  |     0|chrf  |↑  | 29.3458|±  |0.4036|
|               |       |none  |     0|ter   |↓  | 94.8431|±  |0.9561|
| - flores_de-es|      1|none  |     0|bleu  |↑  |  8.1982|±  |0.3507|
|               |       |none  |     0|chrf  |↑  | 35.0010|±  |0.4114|
|               |       |none  |     0|ter   |↓  | 98.4545|±  |2.6967|
| - flores_en-es|      1|none  |     0|bleu  |↑  | 13.6659|±  |0.3491|
|               |       |none  |     0|chrf  |↑  | 41.8280|±  |0.4456|
|               |       |none  |     0|ter   |↓  | 77.6678|±  |1.9275|
| - flores_es-ca|      1|none  |     0|bleu  |↑  |  9.9682|±  |0.3780|
|               |       |none  |     0|chrf  |↑  | 41.3430|±  |0.3847|
|               |       |none  |     0|ter   |↓  | 93.2693|±  |2.8733|
| - flores_es-de|      1|none  |     0|bleu  |↑  |  5.4753|±  |0.2667|
|               |       |none  |     0|chrf  |↑  | 32.7495|±  |0.3703|
|               |       |none  |     0|ter   |↓  |109.1273|±  |2.7827|
| - flores_es-en|      1|none  |     0|bleu  |↑  | 22.0262|±  |0.4159|
|               |       |none  |     0|chrf  |↑  | 54.1877|±  |0.3377|
|               |       |none  |     0|ter   |↓  | 69.9543|±  |0.6889|
| - flores_es-eu|      1|none  |     0|bleu  |↑  |  0.4511|±  |0.0595|
|               |       |none  |     0|chrf  |↑  | 16.6870|±  |0.2766|
|               |       |none  |     0|ter   |↓  |233.5392|±  |5.7421|
| - flores_es-fr|      1|none  |     0|bleu  |↑  | 11.7838|±  |0.4019|
|               |       |none  |     0|chrf  |↑  | 41.4339|±  |0.3905|
|               |       |none  |     0|ter   |↓  | 84.9597|±  |0.9937|
| - flores_es-gl|      1|none  |     0|bleu  |↑  |  7.3039|±  |0.3740|
|               |       |none  |     0|chrf  |↑  | 36.9180|±  |0.6500|
|               |       |none  |     0|ter   |↓  |120.8214|±  |4.2577|
| - flores_es-it|      1|none  |     0|bleu  |↑  |  8.6176|±  |0.3852|
|               |       |none  |     0|chrf  |↑  | 38.2722|±  |0.3658|
|               |       |none  |     0|ter   |↓  | 92.8949|±  |1.8548|
| - flores_es-pt|      1|none  |     0|bleu  |↑  | 14.0812|±  |0.3834|
|               |       |none  |     0|chrf  |↑  | 45.5657|±  |0.3443|
|               |       |none  |     0|ter   |↓  | 78.9662|±  |0.8357|
| - flores_eu-es|      1|none  |     0|bleu  |↑  |  1.3421|±  |0.1298|
|               |       |none  |     0|chrf  |↑  | 21.5655|±  |0.2638|
|               |       |none  |     0|ter   |↓  |142.5210|±  |4.2822|
| - flores_fr-es|      1|none  |     0|bleu  |↑  | 14.2800|±  |0.4022|
|               |       |none  |     0|chrf  |↑  | 42.5347|±  |0.4414|
|               |       |none  |     0|ter   |↓  | 78.4327|±  |1.2668|
| - flores_gl-es|      1|none  |     0|bleu  |↑  |  6.6239|±  |0.3265|
|               |       |none  |     0|chrf  |↑  | 32.3179|±  |0.4559|
|               |       |none  |     0|ter   |↓  | 96.3692|±  |1.5308|
| - flores_it-es|      1|none  |     0|bleu  |↑  | 12.6884|±  |0.4215|
|               |       |none  |     0|chrf  |↑  | 41.8759|±  |0.3810|
|               |       |none  |     0|ter   |↓  | 83.7255|±  |1.5287|
| - flores_pt-es|      1|none  |     0|bleu  |↑  | 16.1010|±  |0.3869|
|               |       |none  |     0|chrf  |↑  | 44.6341|±  |0.3705|
|               |       |none  |     0|ter   |↓  | 72.7594|±  |0.6199|

| Groups  |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|---------|------:|------|------|------|---|-----:|---|-----:|
|flores_es|      1|none  |      |bleu  |↑  |9.8673|±  | 0.087|

