bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
hf (pretrained=meta-llama/Llama-3.1-8B), gen_kwargs: (None), limit: 1000.0, num_fewshot: None, batch_size: 8
|     Tasks     |Version|Filter|n-shot|Metric|   | Value  |   |Stderr|
|---------------|------:|------|-----:|------|---|-------:|---|-----:|
|flores_es      |      1|none  |      |bleu  |↑  | 21.0516|±  |0.1068|
| - flores_ca-es|      1|none  |     0|bleu  |↑  | 24.5550|±  |0.4340|
|               |       |none  |     0|chrf  |↑  | 53.1618|±  |0.3252|
|               |       |none  |     0|ter   |↓  | 61.4943|±  |0.4638|
| - flores_de-es|      1|none  |     0|bleu  |↑  | 21.3499|±  |0.3946|
|               |       |none  |     0|chrf  |↑  | 49.7734|±  |0.3256|
|               |       |none  |     0|ter   |↓  | 67.1365|±  |0.9760|
| - flores_en-es|      1|none  |     0|bleu  |↑  | 24.6822|±  |0.3984|
|               |       |none  |     0|chrf  |↑  | 53.3905|±  |0.3003|
|               |       |none  |     0|ter   |↓  | 60.5429|±  |0.6421|
| - flores_es-ca|      1|none  |     0|bleu  |↑  | 22.5013|±  |0.4099|
|               |       |none  |     0|chrf  |↑  | 53.3092|±  |0.3286|
|               |       |none  |     0|ter   |↓  | 67.5475|±  |0.5709|
| - flores_es-de|      1|none  |     0|bleu  |↑  | 17.6719|±  |0.4162|
|               |       |none  |     0|chrf  |↑  | 50.1511|±  |0.3499|
|               |       |none  |     0|ter   |↓  | 76.9377|±  |0.9135|
| - flores_es-en|      1|none  |     0|bleu  |↑  | 27.5286|±  |0.5109|
|               |       |none  |     0|chrf  |↑  | 58.9884|±  |0.3458|
|               |       |none  |     0|ter   |↓  | 62.5629|±  |0.7360|
| - flores_es-eu|      1|none  |     0|bleu  |↑  |  3.7039|±  |0.2536|
|               |       |none  |     0|chrf  |↑  | 36.4790|±  |0.5237|
|               |       |none  |     0|ter   |↓  |131.3551|±  |3.4165|
| - flores_es-fr|      1|none  |     0|bleu  |↑  | 24.9754|±  |0.4717|
|               |       |none  |     0|chrf  |↑  | 55.0225|±  |0.3585|
|               |       |none  |     0|ter   |↓  | 65.5736|±  |0.6249|
| - flores_es-gl|      1|none  |     0|bleu  |↑  | 20.5953|±  |0.4209|
|               |       |none  |     0|chrf  |↑  | 51.7503|±  |0.3215|
|               |       |none  |     0|ter   |↓  | 68.5205|±  |0.7643|
| - flores_es-it|      1|none  |     0|bleu  |↑  | 19.7463|±  |0.5083|
|               |       |none  |     0|chrf  |↑  | 50.5976|±  |0.3274|
|               |       |none  |     0|ter   |↓  | 72.9324|±  |0.9762|
| - flores_es-pt|      1|none  |     0|bleu  |↑  | 23.0416|±  |0.4218|
|               |       |none  |     0|chrf  |↑  | 53.7151|±  |0.3246|
|               |       |none  |     0|ter   |↓  | 66.8655|±  |0.5345|
| - flores_eu-es|      1|none  |     0|bleu  |↑  | 14.8011|±  |0.4483|
|               |       |none  |     0|chrf  |↑  | 41.7789|±  |0.3982|
|               |       |none  |     0|ter   |↓  | 77.8347|±  |1.1303|
| - flores_fr-es|      1|none  |     0|bleu  |↑  | 22.4295|±  |0.4217|
|               |       |none  |     0|chrf  |↑  | 51.2961|±  |0.3335|
|               |       |none  |     0|ter   |↓  | 65.3736|±  |0.7050|
| - flores_gl-es|      1|none  |     0|bleu  |↑  | 24.0306|±  |0.4311|
|               |       |none  |     0|chrf  |↑  | 53.0110|±  |0.3217|
|               |       |none  |     0|ter   |↓  | 62.1777|±  |0.4746|
| - flores_it-es|      1|none  |     0|bleu  |↑  | 21.4591|±  |0.4262|
|               |       |none  |     0|chrf  |↑  | 51.0419|±  |0.3138|
|               |       |none  |     0|ter   |↓  | 68.1345|±  |0.5283|
| - flores_pt-es|      1|none  |     0|bleu  |↑  | 23.7547|±  |0.4133|
|               |       |none  |     0|chrf  |↑  | 52.4006|±  |0.3317|
|               |       |none  |     0|ter   |↓  | 62.2515|±  |0.4341|

| Groups  |Version|Filter|n-shot|Metric|   | Value |   |Stderr|
|---------|------:|------|------|------|---|------:|---|-----:|
|flores_es|      1|none  |      |bleu  |↑  |21.0516|±  |0.1068|

