bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
hf (pretrained=mistralai/Mistral-7B-Instruct-v0.3), gen_kwargs: (None), limit: 1000.0, num_fewshot: None, batch_size: 1
|     Tasks     |Version|Filter|n-shot|Metric|   | Value  |   |Stderr|
|---------------|------:|------|-----:|------|---|-------:|---|-----:|
|flores_es      |      1|none  |      |bleu  |↑  | 19.0225|±  |0.1022|
| - flores_ca-es|      1|none  |     0|bleu  |↑  | 24.0723|±  |0.4629|
|               |       |none  |     0|chrf  |↑  | 52.8931|±  |0.3312|
|               |       |none  |     0|ter   |↓  | 61.6962|±  |0.4873|
| - flores_de-es|      1|none  |     0|bleu  |↑  | 20.1057|±  |0.3823|
|               |       |none  |     0|chrf  |↑  | 49.3846|±  |0.3399|
|               |       |none  |     0|ter   |↓  | 66.6240|±  |0.4344|
| - flores_en-es|      1|none  |     0|bleu  |↑  | 23.5094|±  |0.4555|
|               |       |none  |     0|chrf  |↑  | 52.6868|±  |0.3383|
|               |       |none  |     0|ter   |↓  | 60.8846|±  |0.4911|
| - flores_es-ca|      1|none  |     0|bleu  |↑  | 22.6275|±  |0.4626|
|               |       |none  |     0|chrf  |↑  | 53.5080|±  |0.3417|
|               |       |none  |     0|ter   |↓  | 67.3529|±  |0.5799|
| - flores_es-de|      1|none  |     0|bleu  |↑  | 15.8799|±  |0.3545|
|               |       |none  |     0|chrf  |↑  | 48.9094|±  |0.3304|
|               |       |none  |     0|ter   |↓  | 78.5930|±  |0.6097|
| - flores_es-en|      1|none  |     0|bleu  |↑  | 26.7009|±  |0.5070|
|               |       |none  |     0|chrf  |↑  | 58.3257|±  |0.3569|
|               |       |none  |     0|ter   |↓  | 63.5885|±  |0.7773|
| - flores_es-eu|      1|none  |     0|bleu  |↑  |  0.8611|±  |0.0925|
|               |       |none  |     0|chrf  |↑  | 21.8702|±  |0.2802|
|               |       |none  |     0|ter   |↓  |168.2447|±  |4.1775|
| - flores_es-fr|      1|none  |     0|bleu  |↑  | 23.7652|±  |0.4506|
|               |       |none  |     0|chrf  |↑  | 54.6184|±  |0.3390|
|               |       |none  |     0|ter   |↓  | 66.6719|±  |0.6069|
| - flores_es-gl|      1|none  |     0|bleu  |↑  | 13.2089|±  |0.3479|
|               |       |none  |     0|chrf  |↑  | 46.6255|±  |0.3329|
|               |       |none  |     0|ter   |↓  | 79.0592|±  |1.0040|
| - flores_es-it|      1|none  |     0|bleu  |↑  | 18.5393|±  |0.4467|
|               |       |none  |     0|chrf  |↑  | 50.0959|±  |0.3025|
|               |       |none  |     0|ter   |↓  | 73.4901|±  |0.6165|
| - flores_es-pt|      1|none  |     0|bleu  |↑  | 22.2268|±  |0.4110|
|               |       |none  |     0|chrf  |↑  | 53.2908|±  |0.3123|
|               |       |none  |     0|ter   |↓  | 67.7730|±  |0.5645|
| - flores_eu-es|      1|none  |     0|bleu  |↑  |  4.6834|±  |0.2450|
|               |       |none  |     0|chrf  |↑  | 26.8426|±  |0.2908|
|               |       |none  |     0|ter   |↓  | 96.7148|±  |1.2194|
| - flores_fr-es|      1|none  |     0|bleu  |↑  | 21.8952|±  |0.4081|
|               |       |none  |     0|chrf  |↑  | 51.3096|±  |0.3374|
|               |       |none  |     0|ter   |↓  | 65.5367|±  |0.4759|
| - flores_gl-es|      1|none  |     0|bleu  |↑  | 22.7519|±  |0.4525|
|               |       |none  |     0|chrf  |↑  | 51.6950|±  |0.3526|
|               |       |none  |     0|ter   |↓  | 63.5252|±  |0.4801|
| - flores_it-es|      1|none  |     0|bleu  |↑  | 20.5660|±  |0.4397|
|               |       |none  |     0|chrf  |↑  | 50.5929|±  |0.3310|
|               |       |none  |     0|ter   |↓  | 69.0005|±  |0.5433|
| - flores_pt-es|      1|none  |     0|bleu  |↑  | 22.9669|±  |0.4256|
|               |       |none  |     0|chrf  |↑  | 51.8633|±  |0.3290|
|               |       |none  |     0|ter   |↓  | 62.9660|±  |0.4472|

| Groups  |Version|Filter|n-shot|Metric|   | Value |   |Stderr|
|---------|------:|------|------|------|---|------:|---|-----:|
|flores_es|      1|none  |      |bleu  |↑  |19.0225|±  |0.1022|

