bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
hf (pretrained=Qwen/Qwen2.5-7B), gen_kwargs: (None), limit: 1000.0, num_fewshot: None, batch_size: 8
|     Tasks     |Version|Filter|n-shot|Metric|   |  Value  |   |Stderr |
|---------------|------:|------|-----:|------|---|--------:|---|------:|
|flores_es      |      1|none  |      |bleu  |↑  |  19.2844|±  | 0.1235|
| - flores_ca-es|      1|none  |     0|bleu  |↑  |  23.9877|±  | 0.4182|
|               |       |none  |     0|chrf  |↑  |  52.5281|±  | 0.3299|
|               |       |none  |     0|ter   |↓  |  62.3020|±  | 0.6129|
| - flores_de-es|      1|none  |     0|bleu  |↑  |  20.6632|±  | 0.5626|
|               |       |none  |     0|chrf  |↑  |  49.1275|±  | 0.3442|
|               |       |none  |     0|ter   |↓  |  69.8742|±  | 3.3706|
| - flores_en-es|      1|none  |     0|bleu  |↑  |  24.6228|±  | 0.4418|
|               |       |none  |     0|chrf  |↑  |  52.9325|±  | 0.3192|
|               |       |none  |     0|ter   |↓  |  60.3953|±  | 0.4520|
| - flores_es-ca|      1|none  |     0|bleu  |↑  |  14.9954|±  | 0.7572|
|               |       |none  |     0|chrf  |↑  |  47.3350|±  | 0.4988|
|               |       |none  |     0|ter   |↓  |  81.5350|±  | 4.7087|
| - flores_es-de|      1|none  |     0|bleu  |↑  |  16.0092|±  | 0.4295|
|               |       |none  |     0|chrf  |↑  |  48.2756|±  | 0.3745|
|               |       |none  |     0|ter   |↓  |  79.6438|±  | 0.7290|
| - flores_es-en|      1|none  |     0|bleu  |↑  |  28.9553|±  | 0.5027|
|               |       |none  |     0|chrf  |↑  |  59.6740|±  | 0.3315|
|               |       |none  |     0|ter   |↓  |  60.5627|±  | 0.7132|
| - flores_es-eu|      1|none  |     0|bleu  |↑  |   0.0584|±  | 0.0077|
