bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
hf (pretrained=google/gemma-2-9b-it), gen_kwargs: (None), limit: 1000.0, num_fewshot: None, batch_size: 8
|     Tasks     |Version|Filter|n-shot|Metric|   | Value |   |Stderr|
|---------------|------:|------|-----:|------|---|------:|---|-----:|
|flores_es      |      1|none  |      |bleu  |↑  |23.2704|±  |0.1121|
| - flores_ca-es|      1|none  |     0|bleu  |↑  |25.1503|±  |0.4909|
|               |       |none  |     0|chrf  |↑  |53.2956|±  |0.3882|
|               |       |none  |     0|ter   |↓  |61.0904|±  |0.5346|
| - flores_de-es|      1|none  |     0|bleu  |↑  |24.1619|±  |0.4468|
|               |       |none  |     0|chrf  |↑  |52.6738|±  |0.3357|
|               |       |none  |     0|ter   |↓  |62.6903|±  |0.4648|
| - flores_en-es|      1|none  |     0|bleu  |↑  |28.2665|±  |0.4153|
|               |       |none  |     0|chrf  |↑  |56.5220|±  |0.3282|
|               |       |none  |     0|ter   |↓  |56.6441|±  |0.4741|
| - flores_es-ca|      1|none  |     0|bleu  |↑  |23.2842|±  |0.4359|
|               |       |none  |     0|chrf  |↑  |54.2846|±  |0.3156|
|               |       |none  |     0|ter   |↓  |66.4168|±  |0.5394|
| - flores_es-de|      1|none  |     0|bleu  |↑  |21.3472|±  |0.4813|
|               |       |none  |     0|chrf  |↑  |53.2225|±  |0.3291|
|               |       |none  |     0|ter   |↓  |71.5860|±  |0.5968|
| - flores_es-en|      1|none  |     0|bleu  |↑  |30.6773|±  |0.5160|
|               |       |none  |     0|chrf  |↑  |60.8288|±  |0.3293|
|               |       |none  |     0|ter   |↓  |58.0034|±  |0.6490|
| - flores_es-eu|      1|none  |     0|bleu  |↑  | 6.6967|±  |0.3694|
|               |       |none  |     0|chrf  |↑  |43.5121|±  |0.3836|
|               |       |none  |     0|ter   |↓  |93.6764|±  |1.4294|
| - flores_es-fr|      1|none  |     0|bleu  |↑  |28.5412|±  |0.5031|
|               |       |none  |     0|chrf  |↑  |58.1029|±  |0.3241|
|               |       |none  |     0|ter   |↓  |61.4886|±  |0.6675|
| - flores_es-gl|      1|none  |     0|bleu  |↑  |21.6701|±  |0.4520|
|               |       |none  |     0|chrf  |↑  |52.6795|±  |0.3327|
|               |       |none  |     0|ter   |↓  |67.0150|±  |0.5680|
| - flores_es-it|      1|none  |     0|bleu  |↑  |22.0547|±  |0.4258|
|               |       |none  |     0|chrf  |↑  |52.9849|±  |0.2687|
|               |       |none  |     0|ter   |↓  |69.2778|±  |0.5834|
| - flores_es-pt|      1|none  |     0|bleu  |↑  |25.5217|±  |0.4817|
|               |       |none  |     0|chrf  |↑  |55.6715|±  |0.3183|
|               |       |none  |     0|ter   |↓  |64.0607|±  |0.5945|
| - flores_eu-es|      1|none  |     0|bleu  |↑  |18.3848|±  |0.4380|
|               |       |none  |     0|chrf  |↑  |46.5887|±  |0.3597|
|               |       |none  |     0|ter   |↓  |71.4624|±  |0.5501|
| - flores_fr-es|      1|none  |     0|bleu  |↑  |24.6157|±  |0.4466|
|               |       |none  |     0|chrf  |↑  |53.1616|±  |0.3462|
|               |       |none  |     0|ter   |↓  |62.0690|±  |0.4903|
| - flores_gl-es|      1|none  |     0|bleu  |↑  |23.5844|±  |0.4212|
|               |       |none  |     0|chrf  |↑  |52.0164|±  |0.3618|
|               |       |none  |     0|ter   |↓  |63.6650|±  |0.5124|
| - flores_it-es|      1|none  |     0|bleu  |↑  |22.9850|±  |0.3905|
|               |       |none  |     0|chrf  |↑  |52.4965|±  |0.2889|
|               |       |none  |     0|ter   |↓  |66.0803|±  |0.5098|
| - flores_pt-es|      1|none  |     0|bleu  |↑  |25.3848|±  |0.4322|
|               |       |none  |     0|chrf  |↑  |53.5225|±  |0.3109|
|               |       |none  |     0|ter   |↓  |60.4225|±  |0.4065|

| Groups  |Version|Filter|n-shot|Metric|   | Value |   |Stderr|
|---------|------:|------|------|------|---|------:|---|-----:|
|flores_es|      1|none  |      |bleu  |↑  |23.2704|±  |0.1121|

