bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
hf (pretrained=Qwen/Qwen2.5-7B), gen_kwargs: (None), limit: 1000.0, num_fewshot: None, batch_size: 8
|     Tasks     |Version|Filter|n-shot|Metric|   |  Value  |   |Stderr |
|---------------|------:|------|-----:|------|---|--------:|---|------:|
|flores_eu      |    1.0|none  |      |bleu  |↑  |   1.5948|±  | 0.0895|
| - flores_ca-eu|    0.1|none  |     0|bleu  |↑  |   0.0629|±  | 0.0074|
|               |       |none  |     0|chrf  |↑  |   5.2656|±  | 0.1674|
|               |       |none  |     0|ter   |↓  |1906.4666|±  |62.3663|
| - flores_de-eu|    0.1|none  |     0|bleu  |↑  |   0.0415|±  | 0.0049|
|               |       |none  |     0|chrf  |↑  |   4.0023|±  | 0.1369|
|               |       |none  |     0|ter   |↓  |2726.3922|±  |76.8796|
| - flores_en-eu|    0.1|none  |     0|bleu  |↑  |   0.0779|±  | 0.0100|
|               |       |none  |     0|chrf  |↑  |   5.3252|±  | 0.1706|
|               |       |none  |     0|ter   |↓  |2068.7250|±  |67.5649|
| - flores_es-eu|    1.0|none  |     0|bleu  |↑  |   0.0574|±  | 0.0076|
|               |       |none  |     0|chrf  |↑  |   5.0516|±  | 0.1821|
|               |       |none  |     0|ter   |↓  |2064.6941|±  |72.4156|
| - flores_eu-ca|    0.1|none  |     0|bleu  |↑  |   1.6215|±  | 0.2144|
|               |       |none  |     0|chrf  |↑  |  20.2398|±  | 0.8550|
|               |       |none  |     0|ter   |↓  | 279.7084|±  |29.5144|
| - flores_eu-de|    0.1|none  |     0|bleu  |↑  |   2.1665|±  | 0.2860|
|               |       |none  |     0|chrf  |↑  |  24.0702|±  | 0.9081|
|               |       |none  |     0|ter   |↓  | 235.2536|±  |25.3661|
| - flores_eu-en|    0.1|none  |     0|bleu  |↑  |   5.8443|±  | 0.8728|
|               |       |none  |     0|chrf  |↑  |  31.7312|±  | 1.2270|
|               |       |none  |     0|ter   |↓  | 157.5969|±  |24.0132|
| - flores_eu-es|    1.0|none  |     0|bleu  |↑  |   4.4848|±  | 0.6530|
|               |       |none  |     0|chrf  |↑  |  28.0884|±  | 1.0129|
|               |       |none  |     0|ter   |↓  | 166.3288|±  |22.7794|
| - flores_eu-fr|    0.1|none  |     0|bleu  |↑  |   4.2039|±  | 0.6690|
|               |       |none  |     0|chrf  |↑  |  28.2735|±  | 1.1027|
|               |       |none  |     0|ter   |↓  | 180.9537|±  |25.2003|
| - flores_eu-gl|    0.1|none  |     0|bleu  |↑  |   1.0266|±  | 0.1264|
|               |       |none  |     0|chrf  |↑  |  17.7998|±  | 0.8308|
|               |       |none  |     0|ter   |↓  | 442.3892|±  |39.3526|
| - flores_eu-it|    0.1|none  |     0|bleu  |↑  |   2.9909|±  | 0.4103|
|               |       |none  |     0|chrf  |↑  |  26.1670|±  | 0.8451|
|               |       |none  |     0|ter   |↓  | 196.0791|±  |22.2678|
| - flores_eu-pt|    0.1|none  |     0|bleu  |↑  |   2.6826|±  | 0.3199|
|               |       |none  |     0|chrf  |↑  |  23.6505|±  | 0.9825|
|               |       |none  |     0|ter   |↓  | 276.6585|±  |29.9706|
| - flores_fr-eu|    0.1|none  |     0|bleu  |↑  |   0.0465|±  | 0.0057|
|               |       |none  |     0|chrf  |↑  |   4.4366|±  | 0.1447|
|               |       |none  |     0|ter   |↓  |2351.0063|±  |73.9663|
| - flores_gl-eu|    0.1|none  |     0|bleu  |↑  |   0.0675|±  | 0.0092|
|               |       |none  |     0|chrf  |↑  |   5.6577|±  | 0.1917|
|               |       |none  |     0|ter   |↓  |1749.2224|±  |63.7844|
| - flores_it-eu|    0.1|none  |     0|bleu  |↑  |   0.0583|±  | 0.0084|
|               |       |none  |     0|chrf  |↑  |   4.6575|±  | 0.1624|
|               |       |none  |     0|ter   |↓  |2208.5077|±  |67.5935|
| - flores_pt-eu|    0.1|none  |     0|bleu  |↑  |   0.0832|±  | 0.0099|
|               |       |none  |     0|chrf  |↑  |   5.7105|±  | 0.1799|
|               |       |none  |     0|ter   |↓  |1901.6238|±  |63.6847|

| Groups  |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|---------|------:|------|------|------|---|-----:|---|-----:|
|flores_eu|      1|none  |      |bleu  |↑  |1.5948|±  |0.0895|

