bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
hf (pretrained=google/gemma-2-9b-it), gen_kwargs: (None), limit: 1000.0, num_fewshot: None, batch_size: 8
|     Tasks     |Version|Filter|n-shot|Metric|   | Value  |   |Stderr|
|---------------|------:|------|-----:|------|---|-------:|---|-----:|
|flores_eu      |    1.0|none  |      |bleu  |↑  | 13.4654|±  |0.1109|
| - flores_ca-eu|    0.1|none  |     0|bleu  |↑  |  6.8991|±  |0.4066|
|               |       |none  |     0|chrf  |↑  | 41.8043|±  |0.4316|
|               |       |none  |     0|ter   |↓  | 96.3350|±  |2.4366|
| - flores_de-eu|    0.1|none  |     0|bleu  |↑  |  5.5507|±  |0.3060|
|               |       |none  |     0|chrf  |↑  | 35.5020|±  |0.6866|
|               |       |none  |     0|ter   |↓  | 99.4511|±  |1.9165|
| - flores_en-eu|    0.1|none  |     0|bleu  |↑  |  5.0513|±  |0.3322|
|               |       |none  |     0|chrf  |↑  | 30.7683|±  |0.6696|
|               |       |none  |     0|ter   |↓  | 99.3482|±  |1.6502|
| - flores_es-eu|    1.0|none  |     0|bleu  |↑  |  6.6997|±  |0.3702|
|               |       |none  |     0|chrf  |↑  | 43.5154|±  |0.3842|
|               |       |none  |     0|ter   |↓  | 93.6764|±  |1.4300|
| - flores_eu-ca|    0.1|none  |     0|bleu  |↑  | 20.1564|±  |0.5278|
|               |       |none  |     0|chrf  |↑  | 48.3758|±  |0.4096|
|               |       |none  |     0|ter   |↓  | 72.9735|±  |1.0366|
| - flores_eu-de|    0.1|none  |     0|bleu  |↑  | 17.1917|±  |0.5112|
|               |       |none  |     0|chrf  |↑  | 48.1992|±  |0.3754|
|               |       |none  |     0|ter   |↓  | 76.4728|±  |0.6534|
| - flores_eu-en|    0.1|none  |     0|bleu  |↑  | 26.4681|±  |0.5478|
|               |       |none  |     0|chrf  |↑  | 55.6727|±  |0.4438|
|               |       |none  |     0|ter   |↓  | 64.0735|±  |0.7345|
| - flores_eu-es|    1.0|none  |     0|bleu  |↑  | 18.3895|±  |0.4396|
|               |       |none  |     0|chrf  |↑  | 46.6073|±  |0.3613|
|               |       |none  |     0|ter   |↓  | 71.4779|±  |0.5552|
| - flores_eu-fr|    0.1|none  |     0|bleu  |↑  | 23.8111|±  |0.5411|
|               |       |none  |     0|chrf  |↑  | 51.9350|±  |0.3770|
|               |       |none  |     0|ter   |↓  | 68.8725|±  |1.3037|
| - flores_eu-gl|    0.1|none  |     0|bleu  |↑  | 17.2533|±  |0.5049|
|               |       |none  |     0|chrf  |↑  | 45.8738|±  |0.4031|
|               |       |none  |     0|ter   |↓  | 76.4959|±  |1.5327|
| - flores_eu-it|    0.1|none  |     0|bleu  |↑  | 17.8644|±  |0.4166|
|               |       |none  |     0|chrf  |↑  | 47.7246|±  |0.3316|
|               |       |none  |     0|ter   |↓  | 74.2768|±  |0.5049|
| - flores_eu-pt|    0.1|none  |     0|bleu  |↑  | 23.7562|±  |0.5400|
|               |       |none  |     0|chrf  |↑  | 51.3108|±  |0.3873|
|               |       |none  |     0|ter   |↓  | 67.5224|±  |0.6673|
| - flores_fr-eu|    0.1|none  |     0|bleu  |↑  |  6.9562|±  |0.3722|
|               |       |none  |     0|chrf  |↑  | 42.8446|±  |0.4155|
|               |       |none  |     0|ter   |↓  | 94.6598|±  |1.5541|
| - flores_gl-eu|    0.1|none  |     0|bleu  |↑  |  6.5231|±  |0.3846|
|               |       |none  |     0|chrf  |↑  | 41.5073|±  |0.4483|
|               |       |none  |     0|ter   |↓  | 99.4054|±  |2.4832|
| - flores_it-eu|    0.1|none  |     0|bleu  |↑  |  5.9991|±  |0.3233|
|               |       |none  |     0|chrf  |↑  | 39.3025|±  |0.4902|
|               |       |none  |     0|ter   |↓  | 97.4214|±  |1.8976|
| - flores_pt-eu|    0.1|none  |     0|bleu  |↑  |  6.8769|±  |0.4548|
|               |       |none  |     0|chrf  |↑  | 41.6635|±  |0.4828|
|               |       |none  |     0|ter   |↓  |100.6975|±  |3.7734|

| Groups  |Version|Filter|n-shot|Metric|   | Value |   |Stderr|
|---------|------:|------|------|------|---|------:|---|-----:|
|flores_eu|      1|none  |      |bleu  |↑  |13.4654|±  |0.1109|

