bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
hf (pretrained=BSC-LT/salamandra-7b-Instruct), gen_kwargs: (None), limit: 1000.0, num_fewshot: None, batch_size: 1
|     Tasks     |Version|Filter|n-shot|Metric|   | Value  |   |Stderr|
|---------------|------:|------|-----:|------|---|-------:|---|-----:|
|flores_eu      |    1.0|none  |      |bleu  |↑  |  8.1020|±  |0.0901|
| - flores_ca-eu|    0.1|none  |     0|bleu  |↑  |  4.1612|±  |0.2358|
|               |       |none  |     0|chrf  |↑  | 41.4048|±  |0.5508|
|               |       |none  |     0|ter   |↓  |196.3865|±  |8.7306|
| - flores_de-eu|    0.1|none  |     0|bleu  |↑  |  7.5336|±  |0.3233|
|               |       |none  |     0|chrf  |↑  | 46.0978|±  |0.3229|
|               |       |none  |     0|ter   |↓  | 95.8719|±  |2.2211|
| - flores_en-eu|    0.1|none  |     0|bleu  |↑  |  8.5416|±  |0.3748|
|               |       |none  |     0|chrf  |↑  | 47.0953|±  |0.3719|
|               |       |none  |     0|ter   |↓  | 87.2956|±  |0.8878|
| - flores_es-eu|    1.0|none  |     0|bleu  |↑  |  6.5358|±  |0.3298|
|               |       |none  |     0|chrf  |↑  | 45.4350|±  |0.3268|
|               |       |none  |     0|ter   |↓  |100.4974|±  |2.8466|
| - flores_eu-ca|    0.1|none  |     0|bleu  |↑  | 10.1486|±  |0.4637|
|               |       |none  |     0|chrf  |↑  | 42.4589|±  |0.5090|
|               |       |none  |     0|ter   |↓  |151.4725|±  |6.0573|
| - flores_eu-de|    0.1|none  |     0|bleu  |↑  |  2.7677|±  |0.1317|
|               |       |none  |     0|chrf  |↑  | 28.9129|±  |0.3735|
|               |       |none  |     0|ter   |↓  |342.2886|±  |9.7982|
| - flores_eu-en|    0.1|none  |     0|bleu  |↑  | 10.5799|±  |0.4877|
|               |       |none  |     0|chrf  |↑  | 44.2444|±  |0.6463|
|               |       |none  |     0|ter   |↓  |175.6964|±  |8.4148|
| - flores_eu-es|    1.0|none  |     0|bleu  |↑  |  9.5929|±  |0.3983|
|               |       |none  |     0|chrf  |↑  | 41.9857|±  |0.4499|
|               |       |none  |     0|ter   |↓  |140.4629|±  |5.0451|
| - flores_eu-fr|    0.1|none  |     0|bleu  |↑  |  6.5983|±  |0.2325|
|               |       |none  |     0|chrf  |↑  | 38.0316|±  |0.3873|
|               |       |none  |     0|ter   |↓  |241.8497|±  |7.0342|
| - flores_eu-gl|    0.1|none  |     0|bleu  |↑  | 16.5654|±  |0.5011|
|               |       |none  |     0|chrf  |↑  | 47.4241|±  |0.3626|
|               |       |none  |     0|ter   |↓  | 79.4046|±  |2.1672|
| - flores_eu-it|    0.1|none  |     0|bleu  |↑  | 13.7098|±  |0.4032|
|               |       |none  |     0|chrf  |↑  | 45.1180|±  |0.3219|
|               |       |none  |     0|ter   |↓  | 86.2643|±  |2.0781|
| - flores_eu-pt|    0.1|none  |     0|bleu  |↑  |  7.5997|±  |0.3001|
|               |       |none  |     0|chrf  |↑  | 39.5270|±  |0.4567|
|               |       |none  |     0|ter   |↓  |225.6709|±  |7.1676|
| - flores_fr-eu|    0.1|none  |     0|bleu  |↑  |  8.3413|±  |0.3598|
|               |       |none  |     0|chrf  |↑  | 47.0523|±  |0.2862|
|               |       |none  |     0|ter   |↓  | 90.2001|±  |1.4955|
| - flores_gl-eu|    0.1|none  |     0|bleu  |↑  |  5.1782|±  |0.3405|
|               |       |none  |     0|chrf  |↑  | 43.6004|±  |0.5090|
|               |       |none  |     0|ter   |↓  |145.4545|±  |7.2677|
| - flores_it-eu|    0.1|none  |     0|bleu  |↑  |  5.3128|±  |0.3391|
|               |       |none  |     0|chrf  |↑  | 43.9047|±  |0.4675|
|               |       |none  |     0|ter   |↓  |125.8834|±  |5.5605|
| - flores_pt-eu|    0.1|none  |     0|bleu  |↑  |  6.4646|±  |0.3494|
|               |       |none  |     0|chrf  |↑  | 45.4625|±  |0.4004|
|               |       |none  |     0|ter   |↓  |121.7038|±  |4.3533|

| Groups  |Version|Filter|n-shot|Metric|   |Value|   |Stderr|
|---------|------:|------|------|------|---|----:|---|-----:|
|flores_eu|      1|none  |      |bleu  |↑  |8.102|±  |0.0901|

