bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
hf (pretrained=BSC-LT/salamandra-7b), gen_kwargs: (None), limit: 1000.0, num_fewshot: None, batch_size: 8
|     Tasks     |Version|Filter|n-shot|Metric|   | Value  |   |Stderr|
|---------------|------:|------|-----:|------|---|-------:|---|-----:|
|flores_eu      |    1.0|none  |      |bleu  |↑  |  4.0694|±  |0.0609|
| - flores_ca-eu|    0.1|none  |     0|bleu  |↑  |  1.5521|±  |0.1740|
|               |       |none  |     0|chrf  |↑  | 19.5488|±  |0.3100|
|               |       |none  |     0|ter   |↓  |110.5031|±  |0.7286|
| - flores_de-eu|    0.1|none  |     0|bleu  |↑  |  1.3652|±  |0.1398|
|               |       |none  |     0|chrf  |↑  | 20.1180|±  |0.3467|
|               |       |none  |     0|ter   |↓  |109.7770|±  |0.6839|
| - flores_en-eu|    0.1|none  |     0|bleu  |↑  |  2.0447|±  |0.1781|
|               |       |none  |     0|chrf  |↑  | 20.9332|±  |0.4142|
|               |       |none  |     0|ter   |↓  |105.7004|±  |0.6971|
| - flores_es-eu|    1.0|none  |     0|bleu  |↑  |  3.3227|±  |0.2551|
|               |       |none  |     0|chrf  |↑  | 28.1627|±  |0.4808|
|               |       |none  |     0|ter   |↓  | 99.1767|±  |0.5835|
| - flores_eu-ca|    0.1|none  |     0|bleu  |↑  |  6.1192|±  |0.2960|
|               |       |none  |     0|chrf  |↑  | 28.7588|±  |0.3664|
|               |       |none  |     0|ter   |↓  | 87.7646|±  |0.4444|
| - flores_eu-de|    0.1|none  |     0|bleu  |↑  |  3.9234|±  |0.2436|
|               |       |none  |     0|chrf  |↑  | 25.1884|±  |0.3486|
|               |       |none  |     0|ter   |↓  | 95.3085|±  |0.5859|
| - flores_eu-en|    0.1|none  |     0|bleu  |↑  | 13.6933|±  |0.4215|
