bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
hf (pretrained=BSC-LT/salamandraTA-2B), gen_kwargs: (None), limit: 1000.0, num_fewshot: None, batch_size: 8
|     Tasks     |Version|Filter|n-shot|Metric|   | Value  |   |Stderr |
|---------------|------:|------|-----:|------|---|-------:|---|------:|
|flores_eu      |    1.0|none  |      |bleu  |↑  |  0.0068|±  | 0.0008|
| - flores_ca-eu|    0.1|none  |     0|bleu  |↑  |  0.0039|±  | 0.0017|
|               |       |none  |     0|chrf  |↑  |  5.2193|±  | 0.0963|
|               |       |none  |     0|ter   |↓  |431.2178|±  | 9.9257|
| - flores_de-eu|    0.1|none  |     0|bleu  |↑  |  0.0023|±  | 0.0001|
|               |       |none  |     0|chrf  |↑  |  6.3052|±  | 0.1244|
|               |       |none  |     0|ter   |↓  |309.9943|±  | 7.6723|
| - flores_en-eu|    0.1|none  |     0|bleu  |↑  |  0.0028|±  | 0.0007|
|               |       |none  |     0|chrf  |↑  |  5.8435|±  | 0.0876|
|               |       |none  |     0|ter   |↓  |378.6964|±  | 8.3138|
| - flores_es-eu|    1.0|none  |     0|bleu  |↑  |  0.0015|±  | 0.0000|
|               |       |none  |     0|chrf  |↑  |  7.1050|±  | 0.0867|
|               |       |none  |     0|ter   |↓  |518.8794|±  |11.0365|
| - flores_eu-ca|    0.1|none  |     0|bleu  |↑  |  0.0103|±  | 0.0031|
|               |       |none  |     0|chrf  |↑  |  7.9578|±  | 0.1172|
|               |       |none  |     0|ter   |↓  |265.1410|±  | 6.3497|
| - flores_eu-de|    0.1|none  |     0|bleu  |↑  |  0.0029|±  | 0.0001|
|               |       |none  |     0|chrf  |↑  |  6.9116|±  | 0.1191|
|               |       |none  |     0|ter   |↓  |251.2903|±  | 6.7637|
| - flores_eu-en|    0.1|none  |     0|bleu  |↑  |  0.0188|±  | 0.0081|
|               |       |none  |     0|chrf  |↑  |  7.1430|±  | 0.1213|
|               |       |none  |     0|ter   |↓  |215.0229|±  | 5.2843|
| - flores_eu-es|    1.0|none  |     0|bleu  |↑  |  0.0102|±  | 0.0008|
|               |       |none  |     0|chrf  |↑  |  8.9742|±  | 0.1168|
|               |       |none  |     0|ter   |↓  |244.9130|±  | 6.0854|
| - flores_eu-fr|    0.1|none  |     0|bleu  |↑  |  0.0092|±  | 0.0018|
|               |       |none  |     0|chrf  |↑  |  6.8134|±  | 0.1408|
|               |       |none  |     0|ter   |↓  |187.3104|±  | 4.0736|
| - flores_eu-gl|    0.1|none  |     0|bleu  |↑  |  0.0082|±  | 0.0016|
|               |       |none  |     0|chrf  |↑  |  7.9495|±  | 0.1060|
|               |       |none  |     0|ter   |↓  |232.7291|±  | 5.4510|
| - flores_eu-it|    0.1|none  |     0|bleu  |↑  |  0.0036|±  | 0.0001|
|               |       |none  |     0|chrf  |↑  |  6.9580|±  | 0.1437|
|               |       |none  |     0|ter   |↓  |192.7700|±  | 4.7213|
| - flores_eu-pt|    0.1|none  |     0|bleu  |↑  |  0.0212|±  | 0.0073|
|               |       |none  |     0|chrf  |↑  |  7.8858|±  | 0.1292|
