bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
hf (pretrained=mistralai/Mistral-Small-24B-Instruct-2501,load_in_4bit=True), gen_kwargs: (None), limit: 1000.0, num_fewshot: None, batch_size: 1
|     Tasks     |Version|Filter|n-shot|Metric|   | Value  |   |Stderr|
|---------------|------:|------|-----:|------|---|-------:|---|-----:|
|flores_gl      |    1.0|none  |      |bleu  |↑  | 27.5579|±  |0.1320|
| - flores_ca-gl|    1.0|none  |     0|bleu  |↑  | 30.7857|±  |0.5511|
|               |       |none  |     0|chrf  |↑  | 58.7148|±  |0.3473|
|               |       |none  |     0|ter   |↓  | 54.2884|±  |0.5300|
| - flores_de-gl|    1.0|none  |     0|bleu  |↑  | 27.4373|±  |0.4477|
|               |       |none  |     0|chrf  |↑  | 55.4263|±  |0.3607|
|               |       |none  |     0|ter   |↓  | 58.6600|±  |0.5240|
| - flores_en-gl|    1.0|none  |     0|bleu  |↑  | 34.1951|±  |0.5871|
|               |       |none  |     0|chrf  |↑  | 60.8306|±  |0.3907|
|               |       |none  |     0|ter   |↓  | 49.6439|±  |0.5248|
| - flores_es-gl|    1.0|none  |     0|bleu  |↑  | 22.3865|±  |0.4347|
|               |       |none  |     0|chrf  |↑  | 53.3947|±  |0.2989|
|               |       |none  |     0|ter   |↓  | 65.9615|±  |0.5785|
| - flores_eu-gl|    0.1|none  |     0|bleu  |↑  | 17.8724|±  |0.6226|
|               |       |none  |     0|chrf  |↑  | 46.8872|±  |0.4125|
|               |       |none  |     0|ter   |↓  | 76.9182|±  |2.1488|
| - flores_fr-gl|    1.0|none  |     0|bleu  |↑  | 28.8873|±  |0.6269|
|               |       |none  |     0|chrf  |↑  | 56.6932|±  |0.3784|
|               |       |none  |     0|ter   |↓  | 59.4831|±  |1.4902|
| - flores_gl-ca|    1.0|none  |     0|bleu  |↑  | 31.9917|±  |0.5677|
