bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
hf (pretrained=BSC-LT/salamandra-7b-Instruct), gen_kwargs: (None), limit: 1000.0, num_fewshot: None, batch_size: 1
|     Tasks     |Version|Filter|n-shot|Metric|   | Value  |   |Stderr|
|---------------|------:|------|-----:|------|---|-------:|---|-----:|
|flores_gl      |    1.0|none  |      |bleu  |↑  | 18.1701|±  |0.1305|
| - flores_ca-gl|    1.0|none  |     0|bleu  |↑  | 22.5902|±  |0.5051|
|               |       |none  |     0|chrf  |↑  | 52.7092|±  |0.3653|
|               |       |none  |     0|ter   |↓  | 67.5694|±  |1.7499|
| - flores_de-gl|    1.0|none  |     0|bleu  |↑  | 22.3931|±  |0.4464|
|               |       |none  |     0|chrf  |↑  | 52.3728|±  |0.3409|
|               |       |none  |     0|ter   |↓  | 67.9831|±  |1.2370|
| - flores_en-gl|    1.0|none  |     0|bleu  |↑  | 26.6425|±  |0.4876|
|               |       |none  |     0|chrf  |↑  | 56.0144|±  |0.3710|
|               |       |none  |     0|ter   |↓  | 60.1484|±  |0.5987|
| - flores_es-gl|    1.0|none  |     0|bleu  |↑  | 16.4894|±  |0.4203|
|               |       |none  |     0|chrf  |↑  | 47.8146|±  |0.3152|
|               |       |none  |     0|ter   |↓  | 74.8880|±  |1.1569|
| - flores_eu-gl|    0.1|none  |     0|bleu  |↑  | 16.5654|±  |0.5011|
|               |       |none  |     0|chrf  |↑  | 47.4241|±  |0.3626|
|               |       |none  |     0|ter   |↓  | 79.4046|±  |2.1672|
| - flores_fr-gl|    1.0|none  |     0|bleu  |↑  | 23.3109|±  |0.4669|
|               |       |none  |     0|chrf  |↑  | 53.3772|±  |0.3654|
|               |       |none  |     0|ter   |↓  | 65.3133|±  |1.1802|
| - flores_gl-ca|    1.0|none  |     0|bleu  |↑  | 18.5895|±  |0.6340|
