bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
hf (pretrained=meta-llama/Llama-3.1-8B), gen_kwargs: (None), limit: 1000.0, num_fewshot: None, batch_size: 8
|     Tasks     |Version|Filter|n-shot|Metric|   | Value  |   |Stderr|
|---------------|------:|------|-----:|------|---|-------:|---|-----:|
|flores_pt      |    1.0|none  |      |bleu  |↑  | 27.7411|±  |0.1352|
| - flores_ca-pt|    1.0|none  |     0|bleu  |↑  | 33.5492|±  |0.5615|
|               |       |none  |     0|chrf  |↑  | 60.1694|±  |0.3832|
|               |       |none  |     0|ter   |↓  | 53.2867|±  |0.6068|
| - flores_de-pt|    1.0|none  |     0|bleu  |↑  | 29.1056|±  |0.5128|
|               |       |none  |     0|chrf  |↑  | 56.3159|±  |0.3734|
|               |       |none  |     0|ter   |↓  | 58.7882|±  |0.6699|
| - flores_en-pt|    1.0|none  |     0|bleu  |↑  | 41.9319|±  |0.6822|
|               |       |none  |     0|chrf  |↑  | 66.2622|±  |0.4740|
|               |       |none  |     0|ter   |↓  | 43.6363|±  |0.6607|
| - flores_es-pt|    1.0|none  |     0|bleu  |↑  | 23.0959|±  |0.4168|
|               |       |none  |     0|chrf  |↑  | 53.7337|±  |0.3210|
|               |       |none  |     0|ter   |↓  | 66.8222|±  |0.5280|
| - flores_eu-pt|    0.1|none  |     0|bleu  |↑  | 14.7392|±  |0.6476|
|               |       |none  |     0|chrf  |↑  | 40.8538|±  |0.5051|
|               |       |none  |     0|ter   |↓  | 88.4697|±  |2.4649|
| - flores_fr-pt|    1.0|none  |     0|bleu  |↑  | 32.3225|±  |0.6035|
|               |       |none  |     0|chrf  |↑  | 59.3999|±  |0.4044|
|               |       |none  |     0|ter   |↓  | 54.8857|±  |0.7259|
| - flores_gl-pt|    1.0|none  |     0|bleu  |↑  | 28.6041|±  |0.4788|
|               |       |none  |     0|chrf  |↑  | 57.2959|±  |0.3309|
|               |       |none  |     0|ter   |↓  | 58.3301|±  |0.4971|
| - flores_it-pt|    1.0|none  |     0|bleu  |↑  | 25.2419|±  |0.5161|
|               |       |none  |     0|chrf  |↑  | 55.0607|±  |0.3699|
|               |       |none  |     0|ter   |↓  | 65.5690|±  |0.7403|
| - flores_pt-ca|    1.0|none  |     0|bleu  |↑  | 30.4940|±  |0.6410|
|               |       |none  |     0|chrf  |↑  | 57.6524|±  |0.4221|
|               |       |none  |     0|ter   |↓  | 58.1121|±  |1.0931|
| - flores_pt-de|    1.0|none  |     0|bleu  |↑  | 25.2272|±  |0.5377|
|               |       |none  |     0|chrf  |↑  | 54.8352|±  |0.3781|
|               |       |none  |     0|ter   |↓  | 64.9370|±  |0.7661|
| - flores_pt-en|    1.0|none  |     0|bleu  |↑  | 47.3693|±  |0.6402|
|               |       |none  |     0|chrf  |↑  | 71.2549|±  |0.4086|
|               |       |none  |     0|ter   |↓  | 38.4857|±  |0.6414|
| - flores_pt-es|    1.0|none  |     0|bleu  |↑  | 23.7599|±  |0.4136|
|               |       |none  |     0|chrf  |↑  | 52.4065|±  |0.3317|
|               |       |none  |     0|ter   |↓  | 62.2476|±  |0.4341|
| - flores_pt-eu|    0.1|none  |     0|bleu  |↑  |  3.6974|±  |0.2704|
|               |       |none  |     0|chrf  |↑  | 35.7920|±  |0.5505|
|               |       |none  |     0|ter   |↓  |138.9880|±  |5.0099|
| - flores_pt-fr|    1.0|none  |     0|bleu  |↑  | 35.9570|±  |0.6271|
|               |       |none  |     0|chrf  |↑  | 62.0430|±  |0.4235|
|               |       |none  |     0|ter   |↓  | 51.0943|±  |0.6568|
| - flores_pt-gl|    1.0|none  |     0|bleu  |↑  | 25.3466|±  |0.4821|
|               |       |none  |     0|chrf  |↑  | 54.2712|±  |0.3827|
|               |       |none  |     0|ter   |↓  | 61.0526|±  |0.7332|
| - flores_pt-it|    1.0|none  |     0|bleu  |↑  | 23.4155|±  |0.4485|
|               |       |none  |     0|chrf  |↑  | 53.1873|±  |0.3285|
|               |       |none  |     0|ter   |↓  | 65.0780|±  |0.8482|

