bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
hf (pretrained=mistralai/Mistral-Small-24B-Instruct-2501,load_in_4bit=True), gen_kwargs: (None), limit: 1000.0, num_fewshot: None, batch_size: 1
|     Tasks     |Version|Filter|n-shot|Metric|   | Value  |   |Stderr|
|---------------|------:|------|-----:|------|---|-------:|---|-----:|
|flores_pt      |    1.0|none  |      |bleu  |↑  | 32.1772|±  |0.1419|
| - flores_ca-pt|    1.0|none  |     0|bleu  |↑  | 37.6335|±  |0.6319|
|               |       |none  |     0|chrf  |↑  | 62.8896|±  |0.4117|
|               |       |none  |     0|ter   |↓  | 49.3798|±  |0.6229|
| - flores_de-pt|    1.0|none  |     0|bleu  |↑  | 35.1765|±  |0.5846|
|               |       |none  |     0|chrf  |↑  | 61.2293|±  |0.3744|
|               |       |none  |     0|ter   |↓  | 52.3445|±  |0.8238|
| - flores_en-pt|    1.0|none  |     0|bleu  |↑  | 49.4580|±  |0.6654|
|               |       |none  |     0|chrf  |↑  | 71.1595|±  |0.4173|
|               |       |none  |     0|ter   |↓  | 36.8728|±  |0.5781|
| - flores_es-pt|    1.0|none  |     0|bleu  |↑  | 26.3427|±  |0.4422|
|               |       |none  |     0|chrf  |↑  | 56.3996|±  |0.2887|
|               |       |none  |     0|ter   |↓  | 62.9716|±  |0.5853|
| - flores_eu-pt|    0.1|none  |     0|bleu  |↑  | 24.2017|±  |0.5168|
|               |       |none  |     0|chrf  |↑  | 51.6970|±  |0.4076|
|               |       |none  |     0|ter   |↓  | 66.9044|±  |0.8605|
| - flores_fr-pt|    1.0|none  |     0|bleu  |↑  | 37.2699|±  |0.6545|
|               |       |none  |     0|chrf  |↑  | 62.6837|±  |0.4247|
|               |       |none  |     0|ter   |↓  | 49.9676|±  |0.7181|
| - flores_gl-pt|    1.0|none  |     0|bleu  |↑  | 32.0040|±  |0.5219|
