bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
bootstrapping for stddev: bleu
bootstrapping for stddev: ter
bootstrapping for stddev: chrf
hf (pretrained=Qwen/Qwen2.5-7B), gen_kwargs: (None), limit: 1000.0, num_fewshot: None, batch_size: 8
|     Tasks     |Version|Filter|n-shot|Metric|   |  Value  |   |Stderr |
|---------------|------:|------|-----:|------|---|--------:|---|------:|
|flores_pt      |    1.0|none  |      |bleu  |↑  |  25.3471|±  | 0.2364|
| - flores_ca-pt|    1.0|none  |     0|bleu  |↑  |  32.9783|±  | 1.3360|
|               |       |none  |     0|chrf  |↑  |  59.7463|±  | 0.5951|
|               |       |none  |     0|ter   |↓  |  54.7388|±  | 2.2819|
| - flores_de-pt|    1.0|none  |     0|bleu  |↑  |  27.0247|±  | 2.0697|
|               |       |none  |     0|chrf  |↑  |  55.2885|±  | 1.0507|
|               |       |none  |     0|ter   |↓  |  67.1593|±  | 9.3419|
| - flores_en-pt|    1.0|none  |     0|bleu  |↑  |  41.2188|±  | 0.6946|
|               |       |none  |     0|chrf  |↑  |  65.2855|±  | 0.4777|
|               |       |none  |     0|ter   |↓  |  44.3796|±  | 0.6802|
| - flores_es-pt|    1.0|none  |     0|bleu  |↑  |  23.3090|±  | 0.4277|
|               |       |none  |     0|chrf  |↑  |  53.8667|±  | 0.2977|
|               |       |none  |     0|ter   |↓  |  66.6062|±  | 0.5483|
| - flores_eu-pt|    0.1|none  |     0|bleu  |↑  |   2.7639|±  | 0.3369|
|               |       |none  |     0|chrf  |↑  |  23.9664|±  | 0.9891|
|               |       |none  |     0|ter   |↓  | 268.4083|±  |29.5466|
| - flores_fr-pt|    1.0|none  |     0|bleu  |↑  |  33.6554|±  | 0.6196|
|               |       |none  |     0|chrf  |↑  |  59.8979|±  | 0.3981|
|               |       |none  |     0|ter   |↓  |  53.4077|±  | 0.6816|
